NAME,STATEFP_COUNTYFP,STATEFP,COUNTYFP,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,AutoOwn2p,R_LowWageWk,R_HiWageWk,RdNetDens,NetDAuto,NetDMu,NetDPed,StDens,IntrDAuto,4IntrMu,4IntPed,CenTTrans,Job45Dr,NatWalkInd,CountyName
Brown,46013,46,13,1252.9,524.0,505.0,0.58,12.0,276.0,8.0,8.0,16.09,0.0,1.37,14.02,73.66,0.0,0.53,33.64,-99999.0,7632.0,7.83,Brown
Edmunds,46045,46,45,985.0,512.5,406.5,0.55,19.0,309.0,4.5,8.5,1.58,0.23,1.2,0.08,0.76,0.24,0.26,0.16,-99999.0,704.0,6.0,Edmunds
Grays Harbor,53027,53,27,1160.76,492.5,397.0,0.57,18.5,235.0,92.0,149.0,7.99,0.0,0.29,6.26,30.9,0.0,0.09,4.6,252.8,2784.0,11.33,Grays Harbor
Callahan,48059,48,59,1147.5,572.5,449.0,0.56,17.0,276.0,73.0,113.0,3.11,0.44,1.59,1.06,5.79,1.58,0.48,0.14,-99999.0,6512.5,4.67,Callahan
Jones,48253,48,253,1243.19,473.0,339.5,0.52,15.5,173.5,110.0,158.0,3.29,0.28,1.19,2.12,4.96,0.52,0.34,0.51,-99999.0,4365.5,5.08,Jones
Taylor,48441,48,441,1175.41,452.5,388.5,0.58,12.0,205.0,112.5,147.5,18.82,0.32,1.7,15.4,75.7,0.35,2.07,14.76,-99999.0,20328.0,7.92,Taylor
Pontotoc,40123,40,123,1198.69,493.5,406.5,0.58,15.0,241.0,102.0,156.5,5.06,0.27,1.33,3.09,14.67,0.37,0.39,6.14,-99999.0,5399.0,6.83,Pontotoc
Lenawee,26091,26,91,1200.9,457.5,432.5,0.59,15.5,269.0,100.5,176.5,4.01,0.42,1.64,1.23,8.62,0.59,0.42,0.49,-99999.0,7969.0,6.08,Lenawee
Aguada,72003,72,3,1332.52,599.0,403.0,0.58,56.0,190.0,0.0,0.0,10.34,0.24,0.13,9.4,36.32,0.0,0.0,3.43,-99999.0,0.0,3.33,Aguada
Aguadilla,72005,72,5,1203.69,553.0,435.0,0.56,71.0,157.0,0.0,0.0,14.73,0.07,1.01,11.02,56.27,0.0,0.0,3.37,-99999.0,0.0,4.0,Aguadilla
Añasco,72011,72,11,1244.0,511.5,382.5,0.55,42.5,144.5,0.0,0.0,9.09,0.05,0.0,7.55,29.58,0.0,0.0,3.48,-99999.0,0.0,3.0,Añasco
Isabela,72071,72,71,1571.11,749.0,543.0,0.58,74.0,166.0,0.0,0.0,8.29,0.0,0.76,7.32,34.8,0.0,0.19,3.82,-99999.0,0.0,3.33,Isabela
